ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_numero,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
11,SUPERSTRUCTURE,X52,F15307---,Fonction,OBTURATION CHAINE PEINTURE SUR COTE DE CAISSE,Renault,1,Projet,TOUS TYPES PH1&PH2,,,,4,TOA,0M000,,5,Valide," 	 ",20/05/2019,F15307/BH,,,OBT 1 PLASTIQUE PTRE CIRE COTE CAISSE G PRT AV,8708.99,,Fournisseur,,,,,,,2,,,,TOA,0M000,Officielle,,,,BE,,,," 	 7707074024",OBTURATEUR 20X50,RMU,Renault,00APS,,Renault," 	 "," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," ORU,TOA,IZH",,---,,S,,,A. RAYMOND RUS LLC,HX,,Oui,,,Standardisation,RMU,,,,--A,BE,--A,BE,,0.004,Pesée pièce série,,,Plan de définition obligatoire,7707074024,Renault,Plan,--C,4,Non partagé
11,SUPERSTRUCTURE,X52,F15307---,Fonction,OBTURATION CHAINE PEINTURE SUR COTE DE CAISSE,Renault,1,Projet,TOUS TYPES PH1&PH2,,,,4,TOA,0M000,,21,Valide," 	 ",20/05/2019,F15307/DM,,,OBTURATEUR PTRE EL FERMETURE COTE CAISSE PARTIE AR G,,,Fournisseur,,,,,,,1,,,,TOA,0M000,Officielle,,,,BE,,,," 	 7707074025",OBTURATEUR 16X32,RMU,Renault,00APS,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,00APS,Officielle," ORU,TOA,IZH,ORA",,---,,S,,,A. RAYMOND RUS LLC,HY,,Oui,,,Standardisation,RMU,,,,---,BE,---,BE,,0.002,Pesée pièce série,,,Plan de définition obligatoire,7707074025,Renault,Plan,---,1,Non partagé
11,SUPERSTRUCTURE,X52,F11827---,Fonction,STRUCTURE D' ADAPTATION ARTICULATION DE PORTE AV SUR CAISSE,Renault,1,Projet," BERLINE, BREAK ET TRICORPS",,,,1,,0M000,,1,Valide," 	 ",17/06/2011,F11827/AD,,,RENFORT D' ARTICULATION SUP DE PORTE AV G SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," OCM,UAS,MOP",0M000,Officielle,,,,BE,,,DOC 400150," 	 801263149R",RENFORT CHARNIERE PIED AV,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,OCM,UAS",,RQ-,,-,RF0,,SC MPO PRODIVERS REZISTENT S,HM,,Oui,,,Design - Montée en Gamme - Teintes,Non définie,,,,--D,BE,--D,BE,,0.367,Calculée,HC340LA-A-M SANS,2,Plan et Num 3D obligatoires,801279428R,Renault,Plan,--C,15,
11,SUPERSTRUCTURE,X52,F11827---,Fonction,STRUCTURE D' ADAPTATION ARTICULATION DE PORTE AV SUR CAISSE,Renault,1,Projet," BERLINE, BREAK ET TRICORPS",,,,1,,0M000,,2,Valide," 	 ",17/06/2011,F11827/AC,,,RENFORT D' ARTICULATION SUP DE PORTE AV D SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," OCM,UAS,MOP",0M000,Officielle,,,,BE,,,DOC 400150," 	 801265000R",RENFORT CHARNIERE PIED AV,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,OCM,UAS",,RQ-,,-,RF0,,SC MPO PRODIVERS REZISTENT S,4W,,Oui,,,Design - Montée en Gamme - Teintes,Non définie,,,,--D,BE,--D,BE,,0.367,Calculée,HC340LA-A-M SANS,2,Plan et Num 3D obligatoires,801192401R,Renault,Plan,--C,15,
11,SUPERSTRUCTURE,X52,F12071---,Fonction,STRUCTURE ADAPTATION GACHE PORTE AR SUR CAISSE,Renault,1,Projet," BREAK, TRICORPS ET BERLINE",,,,3," COR,UAS,MOP,OCM,RMA,TAN,IZH",0M000,,1,Valide," 	 ",06/05/2014,F12071/AB,,,RENFORT 1 DE GACHE DE PORTE AR G SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,," OCM,MOP,TAN,UAS,IZH",0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 765974201R",RENFORT GACHE PORTE AR G,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",MOP,0M000,Officielle,,,," MOP,TAN,UAS,OCM,IZH",,PQ-,,D,SF0,,,YH,,Oui,,,Design - Montée en Gamme - Teintes,Non définie,,,,--H,BE,--H,BE,,0.145,Calculée,DC04-A-M SANS,1.4,Plan et Num 3D obligatoires,765974201R,Renault,Plan,--H,1,Non partagé
11,SUPERSTRUCTURE,X52,F10646---,Fonction,STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE,Renault,1,Projet,TRICORPS L52 - UAS ET COR (PH1+PH2),,,,5,COR,0M000,,1,Valide," 	 ",06/09/2016,F10646/AB,,,ELEMENT 1 SUPPORT DE FEU AR G SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,,,,,EXT,0M000,Officielle,BE,,,DOC 4.90/100," 	 781419006R",ELEMENT SUPPORT FEU AR G,PIE,Renault,0M000,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,0M000,Officielle," EXT,UAS,OCM",,PQ-,,-,SFK,,RENAULT DO BRASIL,BK,,Oui,,,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,,1.551,Calculée,DX54D-Z100MBO Z100,0.8,Plan et Num 3D obligatoires,781418775R,Renault,Plan,--P,23,
11,SUPERSTRUCTURE,X52,F10646---,Fonction,STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE,Renault,2,Projet," BERLINE B52 - COR, UAS, TOA (PH1+PH2)",,,,4," COR,UAS,OCM",0RDBA,,3,Valide," 	 ",06/04/2016,F10646/AG,,,DOUBLURE ELEMENT SUPPORT DE FEU AR G SUR CAISSE,,,Fournisseur,,,,,,,1,,,," OCM,COR,UAS",0RDBA,Officielle,,,,BE,,,DOC 4.90/100," 	 781413811R",DOUBLURE SUPPORT FEU AR G,PIE,Renault,0M000,,Renault," 	 "," PCE Pièce, Unité",,,,EXT,0M000,Officielle," UAS,COR,MOP,OCM",,-Q-,,-,SFK,,TOWER AUTOMOTIVE DO BRASIL S,XB,,Oui,,,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,---,BE,---,BE,,1.506,Calculée,DX54DZ100 M-B-O Z100,0.85,Plan et Num 3D obligatoires,781411708R,Renault,Plan,--P,13,
11,SUPERSTRUCTURE,X52,F10646---,Fonction,STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE,Renault,2,Projet," BERLINE B52 - COR, UAS, TOA (PH1+PH2)",,,,5,TOA,0M000,,1,Valide," 	 ",07/12/2015,F10646/AB,,,ELEMENT 1 SUPPORT DE FEU AR G SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,,MOP,0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 781410763R",ELEMENT SUPPORT FEU AR G,PIE,Renault,0M000,,Renault," 	 "," PCE Pièce, Unité",MOP,0M000,Officielle,EXT,0M000,Officielle," MOP,TAN",,-Q-,,D,SF0,,AUTOMOBILE DACIA S.A. ACHATS,XA,,Oui,,,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,,1.996,Calculée,DC04-A-M SANS,0.95,Plan et Num 3D obligatoires,781415066R,Renault,Plan,--F,11,
11,SUPERSTRUCTURE,X52,F10646---,Fonction,STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE,Renault,2,Projet," BERLINE B52 - COR, UAS, TOA (PH1+PH2)",,,,5,TOA,0M000,,3,Valide," 	 ",07/12/2015,F10646/AG,,,DOUBLURE ELEMENT SUPPORT DE FEU AR G SUR CAISSE,,,Fournisseur,,,,,,,1,,,,TOA,0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 781411911R",DOUBLURE SUPPORT FEU AR G,PIE,Renault,0M000,,Renault," 	 "," PCE Pièce, Unité",TOS,0M000,Officielle,,,,TOA,,-QE,,D,SF0,,,US,,Oui,,,Industrialisation - Capacitaire et Sourcings,Non définie,,,,--A,BE,--A,BE,,1.503,Calculée,DC04-A-M SANS,0.85,Plan et Num 3D obligatoires,78Z411911R,Renault,Plan,--A,1,Non partagé
11,SUPERSTRUCTURE,X52,F10646---,Fonction,STRUCTURE D' ADAPTATION DE FEU AR SUR CAISSE,Renault,3,Projet," BREAK PH1,PH2",,,,1," MOP,TAN",0M000,,1,Valide," 	 ",18/03/2016,F10646/AB,,,ELEMENT 1 SUPPORT DE FEU AR G SUR CAISSE,8708.29,,Fournisseur,,,,,,,1,,,,MOP,0M000,Officielle,,,,BE,,,DOC 4.90/100," 	 781411611R",ELEMENT SUPPORT FEU AR G,PIE,Renault,65320,,Renault," 	 "," PCE Pièce, Unité",MOP,0M000,Officielle,,,,MOP,,---,,D,SF0,,,ZJ,,Oui,,,Standardisation,Multi-projets de familles différentes,,,,--G,BE,--G,BE,,0.973,Calculée,DC04-A-M SANS,0.9,Plan et Num 3D obligatoires,781411057R,Renault,Plan,--A,3,Non partagé
