DOCTECH_numero;Designation;Maturity;n;total;riesgo;ELTDEC_numero;ELTDEC_designation;FAM_code;FCT_numero;FCT_nature;FCT_designation;FCT_BE_resp;VAR_numero;VAR_type;VAR_argument_produit_1;VAR_argument_produit_2;VAR_prix_previ;VAR_masse_previ;SOL_numero;SOL_site_production;SOL_sce;SOL_appariement;ESO_numero;ESO_etat;ESO_num_appro;ESO_date_histo;ESO_num_PG;ESO_commonalite;ESO_commentaire;ESO_designation_PG;ESO_code_SH;ESO_fourn_pilote;ESO_type_concur;ESO_mas_prob;ESO_mas_recy;ESO_risque;ESO_ecart_mas1;ESO_ecart_mas2;ESO_potentiel;ESO_coef;ESO_design_dos_fct;ESO_BE_resp;ESO_indice_dos_fct;AFU_int_site;AFU_int_sce;AFU_int_validite;AFU_ext_site;AFU_ext_sce;AFU_ext_validite;ECO_statut;ECO_sol_ext;ECO_parallel_set_cod;ECO_commentaire;PIE_numero;PIE_designation;PIE_type;PIE_BE_resp;PIE_sce_gest;PIE_sce_colead;PIE_ldr_conception;PIE_Nis_pie_numero;PIE_unite;AFF_POI_site;AFF_POI_sce;AFF_POI_validite;AFF_POE_site;AFF_POE_sce;AFF_POE_validite;AFF_uti_SIGNE;AFF_uti_G2B;PIE_cod_RSE;PIE_vital_part;PIE_code_nature;PIE_code_techno;PIE_sct_ach;PIE_fournisseur;PIE_cod_fab;PIE_source;PIE_gest_MDS;PIE_prix_std;PIE_prix_hors_amort;PIE_inducteur1;PIE_inducteur2;PIE_creation_comment;PIE_gest_PPU;PIE_maj_PPU;PIEIND_indice;PIEIND_statut;PIEIND_Dernier_indice;PIEIND_Dernier_statut;PIEIND_marquage_pays;PIEIND_masse;PIEIND_type_masse;PIEIND_nuance_protection;PIEIND_epaisseur;PIEIND_typologie;DOCTECH_BE_resp;DOCTECH_type;DOCTECH_indice;DOCTECH_indice_mineur;DOCTECH_flag_nis;perimetro
2D0002722P;COUVERCLE POIGNEE INT PORTE AV G;Validated; 1; 1;0,0000000;62;HABILLAGE INTERIEUR;X52;F10489;Fonction;FERMETURE INT DE PORTE AV;Renault;19;Projet;RENAULT SPORT - RS MERCOS.;NA;NA;NA; 1;NA;RSPOR;NA; 1;Valide;NA;18/09/2014;F10489/AC;NA;NA;COUVERCLE DE POIGNEE INT DE PORTE AV D;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;UAS;RSPOR;Officielle;NA;NA;NA;BE;NA;NA;NA;809606128R;COUVERCLE POIGNEE INT PORTE AV D;PIE;Renault;RSPOR;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;RSPOR;Officielle;UAS;NA;R--;NA;-;320;NA;SIMOLDES PLASTICOS DO BRASIL;VU;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Version dérivée ou série limitée;NA;NA;NA;---;BE;---;BE;NA; 0,065;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---; 2;NA;62 - HABILLAGE INTERIEUR
2D0002927P;ROUE;Refused; 1; 1;1,0000000;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12786;Fonction;ROUE;Renault;24;Projet;RALU15 / APL DACIA / PH2;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;07/09/2015;F12786/AA;NA;NA;ROUE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;TAN,RMA,MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403004677R;ROUE 6 J 15 4 40 CHAMADE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP,RMA,TAN;NA;RS-;NA;-;NA;NA;CMS JANT VE MAKINA SANAYII A;0L;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 7,900;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;14;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0002927P;ROUE 6 J 15 4 40 CHAMADE;Refused; 6; 7;0,8571429;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12786;Fonction;ROUE;Renault;24;Projet;RALU15 / APL DACIA / PH2;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;07/09/2015;F12786/AA;NA;NA;ROUE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;TAN,RMA,MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403004677R;ROUE 6 J 15 4 40 CHAMADE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP,RMA,TAN;NA;RS-;NA;-;NA;NA;CMS JANT VE MAKINA SANAYII A;0L;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 7,900;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;14;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0002927P;ROUE 6 J 15 4 40 CHAMADE 4-5 J 14 4 34 BLACK;Refused; 1; 1;1,0000000;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12786;Fonction;ROUE;Renault;24;Projet;RALU15 / APL DACIA / PH2;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;07/09/2015;F12786/AA;NA;NA;ROUE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;TAN,RMA,MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403004677R;ROUE 6 J 15 4 40 CHAMADE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP,RMA,TAN;NA;RS-;NA;-;NA;NA;CMS JANT VE MAKINA SANAYII A;0L;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 7,900;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;14;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0002993P;ROUE 6 J 15 4 40 SYMPHONIE;Refused; 6; 7;0,8571429;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12786;Fonction;ROUE;Renault;25;Projet;RALU15 / APL RENAULT / PH2;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;28/03/2016;F12786/AA;NA;NA;ROUE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;RMA,MOP,CKR;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403002343R;ROUE 6 J 15 4 40 SYMPHONIE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP,RMA,CKR;NA;RS-;NA;-;NA;NA;OYAK RENAULT OTOMOBIL FABRIK;TM;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 8,100;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;15;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0002993P;ROUE 6 J 15 4 40 SYMPHONIE 6 1/2XJ 17 5 50;Refused; 1; 1;1,0000000;84;ROUES - PNEUMATIQUES - ENJOLIVEURS;X52;F12786;Fonction;ROUE;Renault;25;Projet;RALU15 / APL RENAULT / PH2;NA;NA;NA; 1;NA;0M000;NA; 1;Valide;NA;28/03/2016;F12786/AA;NA;NA;ROUE;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;RMA,MOP,CKR;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;403002343R;ROUE 6 J 15 4 40 SYMPHONIE;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP,RMA,CKR;NA;RS-;NA;-;NA;NA;OYAK RENAULT OTOMOBIL FABRIK;TM;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 8,100;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;15;NA;84 - ROUES - PNEUMATIQUES - ENJOLIVEURS
2D0003075P;SIEGE AV G COMPLET;Refused; 3; 5;0,6000000;63;SIEGES;X52;F10604;Fonction;SIEGE G 1ERE RNG;Renault;34;Projet;LB52 PH1 E0 ENPC01 - SANS REHAUSSE - AVEC ALERTE CEINTURE;NA;NA;NA; 2;NA;1RDBA;NA; 1;Valide;NA;17/02/2017;F10604/AH;NA;NA;SIEGE AV G 1ERE RNG COMPLET;NA;NA;Couleur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;COR;1RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;870507894R;SIEGE AV FIXE G COMPLET;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;COR;NA;RSE;NA;N;YBR;NA;NA;9L;NA;Oui;NA;NA;Gestion Documentaire;Assemblé;NA;NA;NA;--B;BE;--B;BE;NA;13,708;Calculée;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--A;10;NA;63 - SIEGES
2D0003180P;CABLE COMMANDE OVRT TRAPPE CARBURANT;Validated; 3; 3;0,0000000;31;ACCES - PROTECTION VEHICULE;X52;F16394;Fonction;COMMANDE OUVERTURE TRAPPE CARBURANT;Renault;6;Projet;K52 PH2 DAG;NA;NA;NA; 1;NA;0M000;NA; 2;Valide;NA;17/05/2019;F16394/AB;NA;NA;CABLE 1 COMMANDE OUVERTURE MECANIQUE TRAPPE A CRBT;NA;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;TAN,MOP;0M000;Officielle;NA;NA;NA;BE;NA;NA;NA;788224340R;CABLE COMMANDE OVRT TRAPPE CARBURANT;PIE;Renault;0M000;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0M000;Officielle;MOP,TAN;NA;R--;NA;-;YAR;NA;ORAU ORHAN OTOMOTIV KONTROL;H4;NA;Oui;NA;NA;Design - Montée en Gamme - Teintes;Nouvelle famille véhicule (hors Standardisation);NA;NA;NA;---;BE;---;BE;NA; 0,075;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;--B;10;NA;31 - ACCES - PROTECTION VEHICULE
2D0003185P;VITRE PARE-BRISE TEINTEE;Refused; 3; 4;0,7500000;43;VISIBILITE;X52;F10467;Fonction;VITRE DE PARE-BRISE;Renault;1;Projet;X52;NA;NA;NA;10;NA;0RDBA;NA; 1;Valide;NA;08/04/2016;F10467/AA;NA;NA;VITRE DE PARE-BRISE;7007.21;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;COR;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;727125010R;VITRE PARE-BRISE TEINTEE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;COR;NA;RS-;NA;-;4AZ;NA;SAINT GOBAIN ARGENTINA;93;NA;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA;13,506;Pesée pièce série;NA;NA;Plan de définition obligatoire;Renault;Plan;---; 9;NA;43 - VISIBILITE
2D0003218P;VITRE LUNETTE;Refused; 2; 2;1,0000000;43;VISIBILITE;X52;F10707;Fonction;VITRE DE LUNETTE ARRIERE;Renault;8;Projet;X52 MERCOSUL;NA;NA;NA; 2;NA;0RDBA;NA; 1;Valide;NA;05/06/2015;F10707/AA;NA;NA;VITRE DE LUNETTE AR;7007.11;NA;Fournisseur;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;COR;0RDBA;Officielle;NA;NA;NA;BE;NA;NA;NA;903008098R;VITRE LUNETTE CHAUFFANTE TEINTEE;PIE;Renault;0RDBA;NA;Renault;NA;PCE Pièce, Unité;NA;NA;NA;EXT;0RDBA;Officielle;COR;NA;RSE;NA;-;4AZ;NA;SAINT GOBAIN ARGENTINA;49;903004216R;Oui;NA;NA;Industrialisation - Capacitaire et Sourcings;Nouvelle industrialisation / Intégration locale;NA;NA;NA;---;BE;---;BE;NA; 6,332;Pesée pièce série;NA;NA;Plan et Num 3D obligatoires;Renault;Plan;---;23;NA;43 - VISIBILITE
