Tipo de demarche;Department;Function Group ;PartReference;Part Designation;Piloted ANPQP;Supplier Name;Pays;Site;PFE / File Manager;Purchasing;SSD;SSD Project Proximite;Origin (IL, PLDA, CO);Type piece (POE, POI);Razones PSW de origen ND;Fecha prevista PSW origen;Las piezas para ABPT1 son IOD? (Si-no);Las piezas para ABPT1 son representativas para PSW? ;Las piezas que llegan para ABPT1 tienen PSW? ;Cómo van a garantizar la llegada de piezas con PSW para ABPT2;Se tiene plan de cumplimiento de GSCR? ;TIPO
CO;DE-VD;62;769377743R;GARNITURE PIED AR INF G;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769346765R;GARNITURE PIED AR SUP D;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769359302R;GARNITURE PIED AR SUP G;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769364393R;GARNITURE PIED EXTREME AR D;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769370345R;GARNITURE PIED EXTREME AR G;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769151408R;GARNITURE PIED MILIEU INF D;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769166933R;GARNITURE PIED MILIEU INF G;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769135803R;GARNITURE PIED MILIEU SUP D;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;769149350R;GARNITURE PIED MILIEU SUP G;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;909006477R;GARNITURE PORTE COFFRE;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;985P07857R;RAMPE SAC GONFLABLE LAT D 1ERE RNG;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;985P27684R;RAMPE SAC GONFLABLE LAT D TETE 2EME RNG;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;985P18630R;RAMPE SAC GONFLABLE LAT G 1ERE RNG;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;985P33421R;RAMPE SAC GONFLABLE LAT G TETE 2EME RNG;;SIMOLDES PLASTICOS DO BRASIL;BRAZIL;620679-00-SAO JOSE DOS PINHAIS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;62;679002227R;ISOLANT TABLIER;;TREVES;BRAZIL;620696-00-QUATRO BARRAS;;Christian FERREIRA;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO-Mexico;DEA-PE;73;214987404R;CONVERGENT LAT D;;ROCHLING AUTOMOTIVE DO BRASI;BRAZIL;417232-00-ITUPEVA-BRESIL;;Pereira Igor lb14471;;;COCA;POE;En desarrollo - Con Fecha;S1949;;;;;;COCA
CO-Mexico;DEA-PE;73;214991025R;CONVERGENT LAT G;;ROCHLING AUTOMOTIVE DO BRASI;BRAZIL;417232-00-ITUPEVA-BRESIL;;Pereira Igor lb14471;;;COCA;POE;En desarrollo - Con Fecha;S1949;;;;;;COCA
CO-Mexico;DEA-PE;73;921207458R;GROUPE MOTOVENTILATEUR RFRT MOTEUR;;GATES DO BRASIL LTDA.;BRAZIL;620594-02-ARUJA-BRESIL;;Paola GUGELMIN  - LB14494;;;COCA;POE;En desarrollo - Con Fecha;S1948;;;;;;COCA
CO-Mexico;DEA-PE;73;215590466R;GUIDE AIR G;;ROCHLING AUTOMOTIVE DO BRASI;BRAZIL;417232-00-ITUPEVA-BRESIL;;Igor Pereira;;;COCA;POE;En desarrollo - Con Fecha;S1949;;;;;;COCA
CO-Mexico;DEA-PE;73;215593208R;GUIDE AIR G;;ROCHLING AUTOMOTIVE DO BRASI;BRAZIL;417232-00-ITUPEVA-BRESIL;;Igor Pereira;;;COCA;POE;En desarrollo - Con Fecha;S1949;;;;;;COCA
CO-Mexico;DEA-PE;73;215595364R;GUIDE AIR G;;ROCHLING AUTOMOTIVE DO BRASI;BRAZIL;417232-00-ITUPEVA-BRESIL;;Igor Pereira;;;COCA;POE;En desarrollo - Con Fecha;S1949;;;;;;COCA
CO-Mexico;DEA-PE;73;215597280R;GUIDE AIR G;;METAPLAST SRL;ROMANIA;232359-02-TITU-ROUMANIE;;TACU Florin ;;;COCA;POE;En desarrollo - Con Fecha;S1948;;;;;;COCA
CO-Mexico;DEA-PE;73;144967953R;REFROIDISSEUR AIR SURALIMENTATION;;CALSONIC KANSEI ROMANIA SRL;ROMANIA;259584-02-PLOIESTI-ROUMANIE;;Florentina-Diana COSTACHE;;;COCA;POE;En desarrollo - Con Fecha;S1948;;;;;;COCA
CO;DEA-PE;73;215597989R;GUIDE AIR G;;ROCHLING AUTOMOTIVE DO BRASI;BRAZIL;417232-00-ITUPEVA-BRESIL;;Pedro Dornelas;;;COCA;POE;En desarrollo - Con Fecha;S2002;;;;;;COCA
CO;DEA-PE;73;214819715R;GROUPE MOTOVENTILATEUR;;GATES DO BRASIL LTDA.;BRAZIL;620594-02-ARUJA-BRESIL;;Paola GUGELMIN  - LB14494;;;COCA;POE;En desarrollo - Con Fecha;S1948;;;;;;COCA
CO;DEA-PE;73;215594568R;GUIDE AIR G;;METAPLAST SRL;ROMANIA;232359-02-TITU-ROUMANIE;;Iulian NICUT;;;COCA;POE;Desarrollo Terminado;S1933;;;;;;COCA
CO;DEA-PE;73;497301561R;PATTE FIX;;SC SILDVB COM SA;ROMANIA;611877-00-BEREVOESTI;;Ionel CIOBANU;;;COCA;POE;En desarrollo - Con Fecha;S2005;;;;;;COCA
CO;DEA-SC;74;180105057R;CAPTEUR PEDALE ACCELERATEUR DAG;;CTS AUTOMOTIVE PRODUCTS;MEXICO;298198-01-MATAMOROS-MEXIQUE;;Georges DALFARAT - A180924 ;;;COCA;POE;En Desarrollo - Sin Fecha;;;;;;;COCA
CO;DEA-SC;81;490014281R;DIRECTION MECANIQUE G;;JTEKT;BRAZIL;272349-00-SAO JOSE DOS PINHAIS;;Doris OLIVEIRA - LB07287;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-SC;81;488104709R;COLONNE ASSISTANCE ELECTRIQUE G;;THYSSENKRUPP PRESTA AG;BRAZIL;291696-00;;Doris OLIVEIRA - LB07287;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-SC;83;476602738R;BLOC HYDRAULIQUE ABS ESP;;ROBERT BOSCH FRANCE SAS;FRANCE;004872-16-YZEURE;;Joy DYPRE -  A008528;;;COCA;POE;Sin Demarche de origen - Sin informacion;;;;;;;COCA
CO;DEA-SC;83;474015077R;TUYAU ASSISTANCE FREINAGE;;AKWEL TIMISOARA ROMANIA S.R.;ROMANIA;249357-01- GHIRODA TIMIS;;Marcel Ionut SINDILARU;;;COCA;POE;En desarrollo - Con Fecha;S1948;;;;;;COCA
CO;DEA-SC;85;540101989R;RESSORT SUSPENSION AV;;ALLEVARD MOLAS DO BRASIL LTD;BRAZIL;620544-00-SAO PAULO/MOGI MIRIM;;0;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SC;85;540104563R;RESSORT SUSPENSION AV;;ALLEVARD MOLAS DO BRASIL LTD;BRAZIL;620544-00-SAO PAULO/MOGI MIRIM;;0;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SC;85;540106883R;RESSORT SUSPENSION AV;;ALLEVARD MOLAS DO BRASIL LTD;BRAZIL;620544-00-SAO PAULO/MOGI MIRIM;;0;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SC;85;550208188R;RESSORT SUSPENSION AR;;MUBEA;BRAZIL;620646-00-TAUBATE;;Doris OLIVEIRA - LB07287;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SC;85;550209494R;RESSORT SUSPENSION AR;;MUBEA;BRAZIL;620646-00-TAUBATE;;Doris OLIVEIRA - LB07287;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SC;85;562103708R;AMORTISSEUR AR;;TENNECO AUTOMOTIVE;BRAZIL;261330-00-MOGI MIRIM;;Doris OLIVEIRA - LB07287;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-SC;85;543024557R;AMORTISSEUR AV;;TENNECO AUTOMOTIVE;BRAZIL;261330-00-MOGI MIRIM;;Oliveira Doris lb07287;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-SI;91;240364368R;CABLAGE MULTIMEDIA;Pilotada COCA;ASK DO BRASIL LTDA;BRAZIL;407746-00-SETE LAGOAS;;DE-SOUSA Raphael;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SI;91;282430876R;COAXIAL ANTENNE RADIO;Piloto COCA;ASK DO BRASIL LTDA;BRAZIL;407746-00-SETE LAGOAS;;DE-SOUSA Raphael;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SI;91;282435894R;COAXIAL ANTENNE RADIO;Pilotada COCA;ASK DO BRASIL LTDA;BRAZIL;407746-00-SETE LAGOAS;;DE-SOUSA Raphael;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SI;91;284B16233R;CALCULATEUR UNITE CTL HABITACLE;;CONTINENTAL AUTOMOTIVE CZECH REPUB;CZECH REPUBLIC;028094-06-FRENSTAT POD RADHOSTEM ;;0;;;COCA;POE;En desarrollo - Con Fecha;S1942;;;;;;COCA
CO;DEA-SI;91;284B12437R;CALCULATEUR UNITE CTL HABITACLE;;CONTINENTAL AUTOMOTIVE CZECH REPUB;CZECH REPUBLIC;028094-06-FRENSTAT POD RADHOSTEM ;;0;;;COCA;POE;En desarrollo - Con Fecha;S1942;;;;;;COCA
CO;DEA-SI;92;231765583R;PROTECTEUR ALTERNATEUR;;STEEP PLASTIQUE SARL;FRANCE;059152-00-ST MAURICE DE BEYNOST;;Palfrey James a006422;;;COCA;POE;En desarrollo - Con Fecha;S1935;;;;;;COCA
CO;DEA-SA;94;284385394R;CAPTEUR SURVEILLANCE ANGLE MORT;;ROBERT BOSCH GMBH;SPAIN;020963-10-MADRID;;Nouredine NACIRI - A018445;M. Pineda;;COCA;POE;Desarrollo Terminado;S1930;;;;;;COCA
CO;DEA-SM;95;259152657R;RECEPTEUR RADIO NAVIGATION;;ROBERT BOSCH GMBH;MALASYA;020963-15-PENANG;;Melanie Leroux;;;COCA;POE;En desarrollo - Con Fecha;S2002;;;;;;COCA
CO;DEA-SM;95;248107822R;TABLEAU BORD;;CONTINENTAL BRASIL IND. AUTO;BRAZIL;620711-00-GUARULHOS-BRESIL;;Bruna RODRIGUES - LB13172;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SM;95;248108062R;TABLEAU BORD;;CONTINENTAL BRASIL IND. AUTO;BRAZIL;620711-00-GUARULHOS-BRESIL;;Bruna RODRIGUES - LB13172;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-PE;54;255678621R;COMMANDE SOUS VOLANT;;KOSTAL;BULGARIE;416189-00-PAZARDZHIK-BULGARIE;;Ismail NBOU - A005120;;;COCA;POE;Desarrollo Terminado;S1927;;;;;;COCA
CO;DEA-SI;91;284Y66LA1D;CONT UNIT-GATEWAY,MULTI;;ROBERT BOSCH LLC;MEXICO;295602-08-AGUASCALIENTES-MEXIQUE;;0;;;COCA;POE;Desarrollo Terminado;S1936;;;;;;COCA
CO;DE-VD;51;684703746R;OBTURATEUR COMMANDE SATELLITE;;BELLS;BRAZIL;271460-00-COLOMBO;;Ferreira Christian lb00697;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VD;51;684701047R;OBTURATEUR COMMANDE SATELLITE;;BELLS;BRAZIL;271460-00-COLOMBO;;Ferreira Christian lb00697;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;13;8200599553;ARTICULATION SUP PORTE LAT;;EDSCHA DO BRASIL LTDA.;BRAZIL;261851-00-SOROCABA;;Macioski Mauricio lb03139;;;COCA;POE;En Desarrollo - Sin Fecha;;;;;;;COCA
CO;DE-VB;13;8200599554;ARTICULATION INF PORTE LAT;;EDSCHA DO BRASIL LTDA.;BRAZIL;261851-00-SOROCABA;;Macioski Mauricio lb03139;;;COCA;POE;En Desarrollo - Sin Fecha;;;;;;;COCA
CO;DEA-MM;M4;144989928R;TUYAU EAU SORTIE TURBOCOMPRESSEUR;;SUMIRIKO ITALY S P A;ITALY;236323-00-CHIVASSO;;Charles-Emmanuel FISCH (Sumiriko Italy);;;COCA;POE;En desarrollo - Con Fecha;S1950;;;;;;COCA
CO;DEA-SC;71;207162638R;SUPPORT INF AV SUR ECHAPPEMENT;;EBERSPAECHER TECN. DE EXHAUS;BRAZIL;277356-00-SOROCABA-BRESIL;;Doris OLIVEIRA - LB07287;;;COCA;POE;Desarrollo Terminado;S1933;;;;;;COCA
CO;DEA-MM;M5;208179270R;BEQUILLE POT CATALYTIQUE PRIMAIRE;;VERON INTERNATIONAL SAS.;FRANCE;220402-00-GISORS;;0;;;COCA;POE;En desarrollo - Con Fecha;S1951;;;;;;COCA
CO;DEA-MM;M9;244560710R;SUPPORT CALCULATEUR BV ASS;;TEFAS KIMYAS VE SERA KAPL SA;TURKEY;111306-01-GEBZE - KOCAELI;;Philippe BLANQUET - A029754;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;12;752105904R;TRAVERSE EXTREME AV;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Manoela Reis;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-SC;85;550204604R;RESSORT SUSPENSION AR;;ALLEVARD MOLAS DO BRASIL LTD;BRAZIL;620544-00-SAO PAULO/MOGI MIRIM;;0;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-SA;94;253A40820R;CAPTEUR AIDE STATIONNEMENT RADIAL;;VALEO INTERIOR CONTROLS SHEN;CHINA;265287-01-SHENZHEN;;Nouredine NACIRI A018445;;;COCA;POE;Desarrollo Terminado;S1933;;;;;;COCA
CO;DEA-MM;M3;144501398R;PROTECTEUR 3 THERMIQUE TURBOCOMPRESSEUR;;ELRINGKLINGER TR OTO.SAN.TIC.A.S.;TURKEY;275057-01;;0;;;COCA;POE;Desarrollo Terminado;S1936;;;;;;COCA
CO;DE-VB;12;671A06064R;RENFORT CTL CLOISON CHAUFFAGE ASS;;TRANSTECHNOLOGY BRASIL IND E;BRAZIL;237937-00-DIADEMA;;Manoela Reis;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DEA-MM;M9;237105616S;BOITIER ELCQ PROGRAMME CONTROLE MOTEUR;; CONTINENTAL AUTOMOTIVE FRANCE SAS;FRANCE;0064874-05-FOIX;;0;;;COCA;POE;Sin Demarche de origen - Sin informacion;;;;;;;COCA
CO;DEA-SM;95;281157321R;AUTORADIO;;HUMAX;SOUTH KOREA;269779-02;;0;;;COCA;POE;Desarrollo Terminado;S1929;;;;;;COCA
CO;DEA-PE;54;254113909R;INTERRUPTEUR DOUBLE LVE;;KOSTAL UKRAINA TOV;CZECH REPUBLIC;416465-00-PEREY;;0;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-PE;54;254116447R;INTERRUPTEUR DOUBLE LVE;;KOSTAL UKRAINA TOV;CZECH REPUBLIC;416465-00-PEREY;;0;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-PE;54;254219443R;INTERRUPTEUR LEVE-VITRE IMPULSIONNEL;;KOSTAL UKRAINA TOV;CZECH REPUBLIC;416465-00-PEREY;;0;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DE-VB;12;751B93087R;RENFORT AR G SUR CAISSE SSP GMP;;TZTO OAO;RUSSIA;;;0;;;COCA;POE;Sin Demarche de origen - Sin informacion;;;;;;;COCA
CO;DE-VB;12;671546435R;RENFORT FIX PEDALIER P-ASS;;GESTAMP PARANA S.A;BRAZIL;276491-00-TAUBATE;;Manoela Reis;;;COCA;POE;En desarrollo - Con Fecha;S1936;;;;;;COCA
CO;DEA-MM;M9;310322121R;BOITIER ELCQ PROGRAMME CTR TRSM AUTO;;JATCO LTD;SOUTH KOREA;;;0;;;COCA;POE;En desarrollo - Con Fecha;S1949;;;;;;COCA
CO;DEA-SC;83;8201730071;PATTE SUPPORT AGRAFE;;MOONLIGHT TOOLS PVT LTD;INDIA;247132-02-SRIPERUMBUDUR KANCHIPURAM-INDE;;0;;;COCA;POE;En desarrollo - Con Fecha;S1937;;;;;;COCA
CO;DE-VD;62;277201834R;CAPTEUR TEMPERATURE HABITACLE;;METAPLAST SRL;ROMANIA;232359-02-TITU;;0;;;COCA;POE;Desarrollo Terminado;S1930;;;;;;COCA
CO;DEA-SI;91;758A63829R;OBTURATEUR CABLAGE;;ELJ AUTOMOTIVE SA;ROMANIA;264478-00-TITU;;0;;;COCA;POE;Desarrollo Terminado;S1936;;;;;;COCA
CO;DE-VB;11;764427806R;ELEMENT FRMT BAVOLET AR D ASS;;UAS CURITIBA;BRAZIL;CURITIBA;;;;;COCA;POE;En desarrollo - Con Fecha;S1942;;;;;;COCA
CO;DE-VD;62;849506824R;GARNITURE LAT D COFFRE AR;;TREVES;BRAZIL;620696-00-QUATRO BARRAS;;0;;;COCA;POE;;;;;;;;COCA
CO;DE-VD;62;849519282R;GARNITURE LAT G COFFRE AR;;TREVES;BRAZIL;620696-00-QUATRO BARRAS;;0;;;COCA;POE;;;;;;;;COCA
CO;DEA-SA;94;284388805R;CAPTEUR SURVEILLANCE ANGLE MORT;Piloto;ROBERT BOSCH GMBH;SPAIN;020963-10-MADRID;Florea Simona-Ioana;Nouredine NACIRI - A018445;M. Pineda;;COCA;POE;;;;;;;;COCA
CO;DEA-SC;88;432002033R;MOYEU-TAMBOUR AR ASS;;GABRIEL;COLOMBIA;;;0;;;COCA;POE;;;;;;;;COCA
CO;DE-VD;63;877005754R;ACCOUDOIR SIEGE AV;;MARTUR;ROMANIA;;;0;B. Couture;;COCA;POE;;;;;;;;COCA
CO;DE-VD;63;877B05650R;MCNS ACCOUDOIR INT SIEGE G 1ERE RNG;;MARTUR;ROMANIA;;;0;B. Couture;;COCA;POE;;;;;;;;COCA
CO;DE-VB;11;760326147R;COTE CAISSE D PARTIE AR;Piloto COCA;UAS CURITIBA;BRAZIL;CURITIBA;;0;;;COCA;POI;En desarrollo - Con Fecha;S1942;;;;;;POI
CO;DE-VB;11;760332615R;COTE CAISSE G PARTIE AR;Pilotada COCA;UAS CURITIBA;BRAZIL;CURITIBA;;0;;;COCA;POI;En desarrollo - Con Fecha;S1942;;;;;;POI
CO;DE-VB;11;766325237R;DOUBLURE CUSTODE D;Pilotada COCA;UAS CURITIBA;BRAZIL;CURITIBA;;0;;;COCA;POI;En desarrollo - Con Fecha;S1942;;;;;;POI
CO;DE-VB;11;766332584R;DOUBLURE CUSTODE G;Pilotada COCA;UAS CURITIBA;BRAZIL;CURITIBA;;0;;;COCA;POI;En desarrollo - Con Fecha;S1942;;;;;;POI
CO;DE-VB;11;762303467R;DOUBLURE MONTANT BAIE D;Pilotada COCA;UAS CURITIBA;BRAZIL;CURITIBA;;0;;;COCA;POI;En desarrollo - Con Fecha;S1942;;;;;;POI
